
2024/12/10 (21:29:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/10 (21:29:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (21:20:36) | ===> btop++ v.1.4.0
2024/12/11 (21:20:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (21:20:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (21:20:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (21:20:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (16:06:28) | ===> btop++ v.1.4.0
2024/12/19 (16:06:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/19 (16:06:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (16:06:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/19 (16:06:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (16:08:44) | ===> btop++ v.1.4.0
2024/12/19 (16:08:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/19 (16:08:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (16:08:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/19 (16:08:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (16:08:53) | ===> btop++ v.1.4.0
2024/12/19 (16:08:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/19 (16:08:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (16:08:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/19 (16:08:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (16:16:16) | ===> btop++ v.1.4.0
2024/12/19 (16:16:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/19 (16:16:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (16:16:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/19 (16:16:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
